date,step,hybrid,latitude,longitude,valid_time,nh3,crwc,c10h16
2012-01-01 00:00:00,0 days,60.0,82.492,-62.508,2012-01-01 00:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-01 03:00:00,0 days,60.0,82.492,-62.508,2012-01-01 03:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-01 06:00:00,0 days,60.0,82.492,-62.508,2012-01-01 06:00:00,9.999995e-26,0.0,9.9999996e-26
2012-01-01 09:00:00,0 days,60.0,82.492,-62.508,2012-01-01 09:00:00,9.999995e-26,0.0,9.9999854e-26
2012-01-01 12:00:00,0 days,60.0,82.492,-62.508,2012-01-01 12:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-01 15:00:00,0 days,60.0,82.492,-62.508,2012-01-01 15:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-01 18:00:00,0 days,60.0,82.492,-62.508,2012-01-01 18:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-01 21:00:00,0 days,60.0,82.492,-62.508,2012-01-01 21:00:00,9.999995e-26,0.0,9.9999854e-26
2012-01-02 00:00:00,0 days,60.0,82.492,-62.508,2012-01-02 00:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-02 03:00:00,0 days,60.0,82.492,-62.508,2012-01-02 03:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-02 06:00:00,0 days,60.0,82.492,-62.508,2012-01-02 06:00:00,9.999995e-26,0.0,9.9999996e-26
2012-01-02 09:00:00,0 days,60.0,82.492,-62.508,2012-01-02 09:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-02 12:00:00,0 days,60.0,82.492,-62.508,2012-01-02 12:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-02 15:00:00,0 days,60.0,82.492,-62.508,2012-01-02 15:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-02 18:00:00,0 days,60.0,82.492,-62.508,2012-01-02 18:00:00,9.999995e-26,0.0,9.9999854e-26
2012-01-02 21:00:00,0 days,60.0,82.492,-62.508,2012-01-02 21:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-03 00:00:00,0 days,60.0,82.492,-62.508,2012-01-03 00:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-03 03:00:00,0 days,60.0,82.492,-62.508,2012-01-03 03:00:00,9.9999854e-26,0.0,9.999995e-26
2012-01-03 06:00:00,0 days,60.0,82.492,-62.508,2012-01-03 06:00:00,9.9999996e-26,0.0,9.999995e-26
2012-01-03 09:00:00,0 days,60.0,82.492,-62.508,2012-01-03 09:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-03 12:00:00,0 days,60.0,82.492,-62.508,2012-01-03 12:00:00,9.999995e-26,0.0,9.999995e-26
2012-01-03 15:00:00,0 days,60.0,82.492,-62.508,2012-01-03 15:00:00,9.999995e-26,0.0,9.9999996e-26
